employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,avg_training_score
13259,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,2,3,50
72407,Analytics,region_2,Master's & above,m,sourcing,2,34,4,7,87
65237,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,43,1,14,52
67672,Technology,region_17,Bachelor's,m,other,1,29,,1,85
77460,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,35,3,3,52
67317,Technology,region_22,Master's & above,m,other,4,40,3,12,77
68788,Technology,region_23,Bachelor's,m,sourcing,2,33,4,9,83
36834,Sales & Marketing,region_8,Master's & above,m,other,1,30,3,2,55
64281,Sales & Marketing,region_14,Bachelor's,f,sourcing,2,42,1,3,46
1822,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,29,1,3,51
55325,Analytics,region_22,Bachelor's,m,other,1,25,,1,88
41432,Analytics,region_26,Bachelor's,m,sourcing,1,26,5,4,90
52061,Sales & Marketing,region_31,Bachelor's,m,other,1,27,2,3,52
39973,Operations,region_13,Bachelor's,m,other,1,34,5,5,66
42524,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,26,4,5,45
7935,Technology,region_2,Bachelor's,f,other,1,52,5,18,80
49940,Sales & Marketing,region_7,Bachelor's,m,other,1,26,5,2,54
10059,Analytics,region_34,Bachelor's,m,sourcing,3,27,3,2,83
44159,Analytics,region_22,Master's & above,m,other,1,31,,1,84
76691,Operations,region_23,Bachelor's,m,other,1,33,4,8,59
3720,Sales & Marketing,region_2,,m,sourcing,1,36,5,4,49
5621,Technology,region_2,Master's & above,f,other,1,57,1,26,76
24147,Sales & Marketing,region_2,Bachelor's,m,other,2,46,1,7,49
33997,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,30,2,3,50
64076,Operations,region_2,Below Secondary,m,other,1,21,,1,56
21379,Technology,region_4,Bachelor's,m,sourcing,1,26,,1,85
23714,Technology,region_7,Master's & above,m,sourcing,2,40,3,6,81
19866,Technology,region_23,Bachelor's,m,other,2,32,3,6,79
4529,Finance,region_22,Master's & above,f,sourcing,1,36,3,2,61
64703,Finance,region_2,Bachelor's,m,other,1,28,2,2,62
19649,Finance,region_22,Bachelor's,f,sourcing,1,29,5,4,56
6596,Finance,region_2,Master's & above,m,sourcing,1,38,4,4,49
7999,Finance,region_4,Bachelor's,m,other,1,31,2,4,78
4762,Finance,region_22,Bachelor's,m,other,1,29,1,4,46
5387,Finance,region_5,Below Secondary,m,other,1,23,,1,81
24620,Finance,region_26,Bachelor's,m,sourcing,1,41,4,6,60
57989,Procurement,region_2,Bachelor's,m,other,1,29,5,2,74
75619,Sales & Marketing,region_28,Bachelor's,f,other,1,29,2,5,51
26977,Operations,region_2,,m,sourcing,1,28,3,3,59
65975,Analytics,region_29,Bachelor's,m,other,2,28,5,4,84
51302,Analytics,region_22,Bachelor's,f,sourcing,1,31,1,6,64
63714,Analytics,region_4,Master's & above,m,sourcing,1,36,3,4,76
70556,Analytics,region_2,Bachelor's,m,other,3,26,3,4,57
70117,Analytics,region_15,Bachelor's,m,other,1,29,3,2,84
51972,Analytics,region_7,Bachelor's,m,sourcing,1,32,4,6,85
60572,Analytics,region_2,Bachelor's,f,other,1,40,1,10,50
9548,Analytics,region_22,Bachelor's,m,sourcing,2,38,4,13,87
64,Analytics,region_4,Bachelor's,m,other,1,42,5,11,80
35510,Procurement,region_29,Master's & above,f,other,1,33,3,6,68
10732,Analytics,region_2,Bachelor's,m,other,1,31,5,5,92
9214,Operations,region_3,Master's & above,f,sourcing,1,35,3,4,58
10761,HR,region_2,Master's & above,f,sourcing,1,58,5,6,51
32110,Sales & Marketing,region_28,Bachelor's,f,sourcing,1,26,2,4,48
50038,HR,region_29,Bachelor's,f,sourcing,1,33,3,8,49
1555,Technology,region_7,Bachelor's,m,sourcing,1,30,3,3,80
21200,Technology,region_13,Master's & above,f,sourcing,1,43,3,12,79
50380,HR,region_17,Bachelor's,f,sourcing,1,31,4,7,48
45009,Analytics,region_29,Bachelor's,m,sourcing,1,32,3,5,86
65450,Technology,region_2,Master's & above,f,sourcing,2,57,2,7,83
77333,Operations,region_2,Bachelor's,f,other,1,54,4,22,57
2347,Analytics,region_15,,m,other,2,37,5,8,82
8443,R&D,region_22,Master's & above,m,other,2,27,4,5,86
39490,Operations,region_22,Master's & above,m,sourcing,1,44,3,10,55
69077,Technology,region_24,Master's & above,f,other,1,37,3,10,81
64652,Procurement,region_7,Master's & above,m,other,1,48,4,8,72
5254,Sales & Marketing,region_25,Bachelor's,f,other,1,31,3,6,43
71131,Finance,region_22,Bachelor's,f,other,1,28,5,5,60
19620,Procurement,region_13,Master's & above,f,other,1,34,3,4,69
41266,Sales & Marketing,region_14,Bachelor's,f,sourcing,1,44,1,4,47
11001,Sales & Marketing,region_12,Bachelor's,m,sourcing,1,27,5,2,50
28530,Operations,region_22,Master's & above,m,referred,1,45,3,4,57
72481,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,24,4,2,48
67417,Analytics,region_29,Bachelor's,m,other,1,37,5,4,82
51840,Analytics,region_22,Master's & above,m,other,1,27,,1,86
43223,Legal,region_22,Bachelor's,m,other,1,33,,1,59
40287,Sales & Marketing,region_2,Master's & above,f,other,1,31,1,2,53
29367,Sales & Marketing,region_7,Master's & above,m,sourcing,3,38,3,5,49
36352,Procurement,region_22,Bachelor's,m,other,1,32,5,2,72
29681,Analytics,region_19,Bachelor's,m,other,1,29,3,4,84
30233,Sales & Marketing,region_15,Bachelor's,m,other,1,37,4,9,50
66601,Operations,region_13,Bachelor's,m,other,2,42,3,12,60
40276,R&D,region_22,Master's & above,m,sourcing,2,32,5,5,88
1522,R&D,region_13,Bachelor's,m,other,1,45,3,3,60
17936,R&D,region_29,Bachelor's,m,other,1,28,3,7,83
26270,R&D,region_15,Master's & above,m,sourcing,1,35,1,9,81
6837,R&D,region_4,Bachelor's,m,other,3,28,3,5,48
49665,R&D,region_8,Bachelor's,f,other,1,37,1,3,59
1908,R&D,region_4,Master's & above,m,other,1,38,4,7,88
6474,R&D,region_2,Bachelor's,f,sourcing,1,31,1,6,68
27495,R&D,region_2,Master's & above,m,other,2,43,3,2,69
24324,R&D,region_23,Bachelor's,m,other,1,32,3,2,62
14299,R&D,region_2,Below Secondary,m,sourcing,1,24,4,2,69
56246,R&D,region_2,Master's & above,m,other,1,52,5,8,59
3901,R&D,region_13,Master's & above,m,other,1,38,5,2,88
41566,R&D,region_20,Bachelor's,m,other,1,35,3,4,59
55735,R&D,region_31,Master's & above,m,other,1,39,5,4,81
53627,R&D,region_7,Bachelor's,m,other,1,31,3,5,65
62683,R&D,region_27,Bachelor's,m,sourcing,1,37,3,5,57
42719,R&D,region_21,,m,sourcing,1,27,,1,80
44948,R&D,region_30,Master's & above,f,other,1,37,5,9,56
26037,R&D,region_16,Bachelor's,m,other,2,31,3,5,81
30607,R&D,region_22,Bachelor's,m,sourcing,1,28,5,4,85
46103,R&D,region_15,Bachelor's,m,other,1,26,3,3,77
6452,R&D,region_2,Master's & above,m,other,1,49,4,7,62
47286,R&D,region_13,Bachelor's,f,other,1,34,3,9,68
44117,R&D,region_4,Master's & above,f,other,1,38,3,2,58
1367,R&D,region_13,Master's & above,m,other,1,52,4,4,51
26228,R&D,region_22,Bachelor's,m,sourcing,3,31,1,7,50
65694,R&D,region_2,Bachelor's,f,other,1,24,1,2,82
2721,R&D,region_22,,f,sourcing,2,26,5,3,86
63901,R&D,region_7,Bachelor's,m,other,1,31,2,5,66
4701,R&D,region_26,Bachelor's,f,other,1,43,1,4,86
35341,R&D,region_4,Master's & above,m,other,4,37,3,6,68
3203,R&D,region_2,,m,sourcing,1,37,4,4,50
10361,R&D,region_2,Master's & above,m,other,1,37,5,9,53
6572,R&D,region_29,Bachelor's,m,other,1,32,5,8,58
70408,R&D,region_26,Bachelor's,f,other,1,30,4,2,53
11774,R&D,region_20,Bachelor's,f,other,1,30,5,4,71
37873,R&D,region_7,Bachelor's,m,sourcing,1,27,4,3,50
3886,R&D,region_2,Bachelor's,m,other,2,36,4,8,45
23347,R&D,region_9,Bachelor's,m,sourcing,4,30,3,2,78
3034,R&D,region_2,Master's & above,m,sourcing,1,49,4,19,73
30137,R&D,region_10,Master's & above,m,other,1,38,5,5,63
52431,R&D,region_30,Bachelor's,m,other,1,29,3,6,51
11061,R&D,region_33,Bachelor's,m,other,1,48,3,6,81
9706,R&D,region_21,Bachelor's,m,other,1,29,,1,53
17607,R&D,region_2,Master's & above,m,other,1,59,4,13,82
64986,R&D,region_7,Bachelor's,f,other,1,36,5,5,62
8082,R&D,region_13,Bachelor's,m,other,1,28,3,3,59
20982,R&D,region_22,Bachelor's,m,other,2,27,4,2,68
5794,R&D,region_2,Bachelor's,m,sourcing,1,25,3,2,62
69381,R&D,region_26,Bachelor's,m,other,1,30,5,6,52
50176,R&D,region_27,Below Secondary,m,other,1,23,,1,51
1612,R&D,region_15,Bachelor's,f,sourcing,1,28,,1,50
48923,R&D,region_2,Bachelor's,m,other,1,38,4,5,48
50366,R&D,region_22,Bachelor's,m,sourcing,1,30,,1,45
48813,R&D,region_2,Bachelor's,f,other,1,53,4,21,53
5574,R&D,region_8,Master's & above,m,other,1,35,3,8,45
57601,R&D,region_2,Bachelor's,m,other,1,45,3,14,53
26788,R&D,region_26,,m,sourcing,1,40,1,8,51
564,R&D,region_32,Bachelor's,m,other,1,39,3,8,58
3864,R&D,region_13,Bachelor's,m,other,1,46,4,6,82
19598,R&D,region_5,Bachelor's,m,sourcing,2,29,3,3,79
19513,R&D,region_6,Bachelor's,m,other,1,28,,1,84
74965,R&D,region_15,Bachelor's,f,other,1,34,4,6,82
42353,R&D,region_9,Bachelor's,m,other,1,23,,1,47
13367,R&D,region_14,Bachelor's,m,other,1,38,5,3,51
38556,R&D,region_22,Master's & above,m,sourcing,1,32,3,5,52
51344,R&D,region_26,Bachelor's,m,other,1,33,3,5,58
28320,R&D,region_2,Bachelor's,f,other,1,39,4,9,70
56104,R&D,region_4,Master's & above,m,other,4,36,3,6,71
68882,R&D,region_22,Bachelor's,m,sourcing,2,33,4,4,59
75800,R&D,region_2,Bachelor's,f,other,1,29,4,6,45
13223,R&D,region_7,Bachelor's,f,other,1,32,3,5,85
62740,R&D,region_28,Bachelor's,f,sourcing,1,26,3,2,46
67233,R&D,region_32,Bachelor's,m,sourcing,1,38,3,3,82
49207,R&D,region_22,Master's & above,m,sourcing,1,42,2,15,70
19053,R&D,region_32,Bachelor's,f,sourcing,1,30,5,6,60
38096,R&D,region_22,Bachelor's,m,sourcing,2,28,,1,83
46519,R&D,region_14,Bachelor's,m,other,1,36,4,6,47
2111,R&D,region_2,Bachelor's,f,other,1,56,5,6,84
69413,R&D,region_14,Bachelor's,f,other,1,30,3,5,51
53827,R&D,region_15,Bachelor's,m,other,2,25,,1,50
40064,R&D,region_7,Bachelor's,f,other,1,29,5,6,49
33502,R&D,region_7,Bachelor's,m,other,1,36,2,7,47
15182,R&D,region_14,Bachelor's,f,other,1,39,3,4,80
13593,R&D,region_26,Bachelor's,m,sourcing,1,30,5,4,84
15613,R&D,region_2,Bachelor's,m,other,2,42,3,9,84
75751,R&D,region_26,Bachelor's,m,sourcing,2,37,4,9,49
71625,R&D,region_22,Bachelor's,m,sourcing,1,31,2,2,66
37763,R&D,region_28,Master's & above,m,sourcing,1,32,4,6,48
10812,R&D,region_15,Master's & above,m,other,1,40,5,11,59
67357,R&D,region_2,Bachelor's,m,sourcing,2,39,5,10,58
49583,R&D,region_26,Bachelor's,m,other,1,40,4,10,47
45428,R&D,region_22,Bachelor's,m,sourcing,1,23,1,2,45
9978,R&D,region_2,Bachelor's,m,sourcing,2,28,,1,60
44266,R&D,region_7,Bachelor's,m,other,1,37,2,4,51
47252,R&D,region_2,Below Secondary,m,sourcing,1,23,,1,58
57884,R&D,region_2,Bachelor's,m,sourcing,1,37,3,9,61
24334,R&D,region_22,Bachelor's,m,referred,1,29,5,3,54
58892,R&D,region_32,Bachelor's,f,other,1,38,4,10,55
40799,R&D,region_22,Bachelor's,m,other,2,39,4,10,57
33879,R&D,region_22,Master's & above,m,other,2,38,5,7,48
24403,R&D,region_13,Bachelor's,m,sourcing,1,34,3,4,69
51150,R&D,region_15,Bachelor's,f,other,1,48,5,21,69
7722,R&D,region_26,Master's & above,m,other,1,29,5,4,82
71271,R&D,region_13,Master's & above,f,other,1,37,4,7,81
56772,R&D,region_22,,m,other,2,23,,1,53
65909,R&D,region_2,Bachelor's,f,other,1,47,5,2,63
8228,R&D,region_14,Bachelor's,m,sourcing,1,31,1,3,50
52138,R&D,region_16,Bachelor's,m,other,1,28,3,4,83
22999,R&D,region_28,Master's & above,f,other,2,32,4,6,57
29196,R&D,region_27,Bachelor's,f,other,1,33,2,4,71
10663,R&D,region_6,Bachelor's,m,sourcing,2,28,,1,58
65651,R&D,region_2,Bachelor's,m,other,1,32,,1,62
17973,R&D,region_6,Bachelor's,m,sourcing,1,34,3,10,67
10986,R&D,region_7,Bachelor's,m,sourcing,1,38,5,3,52
19355,R&D,region_33,Bachelor's,m,other,1,28,4,5,79
75402,R&D,region_24,Master's & above,m,other,1,34,3,3,87
52587,R&D,region_2,Bachelor's,m,other,1,44,2,16,70
41662,R&D,region_20,Bachelor's,m,sourcing,1,28,3,4,69
73944,R&D,region_27,Bachelor's,f,other,1,31,1,5,61
3987,R&D,region_29,Bachelor's,m,other,1,34,2,5,84
40057,R&D,region_2,Below Secondary,m,other,1,22,3,2,71
76195,R&D,region_2,Bachelor's,m,other,1,20,,1,76
12411,R&D,region_11,Bachelor's,f,other,1,32,3,7,66
15161,R&D,region_2,Master's & above,f,other,1,43,3,6,80
59084,R&D,region_2,Master's & above,f,other,1,42,5,13,85
53857,R&D,region_7,Bachelor's,m,other,1,41,3,8,54
42772,R&D,region_11,Bachelor's,f,other,1,27,3,2,84
5294,R&D,region_2,Bachelor's,m,sourcing,1,41,4,9,56
56439,R&D,region_23,Bachelor's,m,other,1,26,5,2,76
29998,R&D,region_34,Bachelor's,m,other,1,35,5,10,85
76599,R&D,region_28,Bachelor's,f,sourcing,1,28,1,3,58
27424,R&D,region_2,Bachelor's,f,sourcing,1,50,1,9,46
45605,R&D,region_22,Master's & above,m,other,1,29,,1,46
75833,R&D,region_7,Master's & above,m,other,2,37,1,10,49
57068,R&D,region_4,Bachelor's,m,other,2,35,3,8,64
70129,R&D,region_28,Master's & above,f,other,1,29,4,4,51
14733,R&D,region_6,Bachelor's,f,sourcing,1,36,5,8,47
71886,R&D,region_5,Below Secondary,m,other,1,22,,1,79
7561,R&D,region_2,Bachelor's,m,other,1,36,3,3,55
59522,R&D,region_22,Bachelor's,f,other,2,37,4,2,71
44299,R&D,region_29,Bachelor's,m,other,1,30,3,4,83
29220,R&D,region_2,Bachelor's,m,sourcing,2,26,2,2,54
15869,R&D,region_13,Bachelor's,f,sourcing,2,28,5,3,68
51270,R&D,region_15,Bachelor's,m,other,1,49,4,9,61
14778,R&D,region_22,,m,other,1,29,5,2,84
19212,R&D,region_21,Master's & above,m,other,1,35,5,7,70
70890,R&D,region_24,Bachelor's,m,other,1,32,2,6,90
31183,R&D,region_28,Master's & above,f,sourcing,1,42,3,4,54
46628,R&D,region_4,Master's & above,m,other,1,37,4,5,76
44670,R&D,region_29,Bachelor's,m,other,1,28,5,2,45
70734,R&D,region_15,Bachelor's,m,other,1,38,4,2,97
47051,R&D,region_2,Bachelor's,m,sourcing,2,39,4,5,86
17760,R&D,region_27,Bachelor's,m,other,1,28,5,2,87
8180,R&D,region_14,Bachelor's,m,other,2,34,3,10,60
24756,R&D,region_22,Bachelor's,f,other,1,37,3,3,63
56780,R&D,region_2,Master's & above,f,sourcing,2,38,1,6,51
59919,R&D,region_2,Bachelor's,f,sourcing,1,24,5,2,57
18924,R&D,region_11,Master's & above,m,other,1,36,3,7,52
42477,R&D,region_2,Bachelor's,m,other,1,41,2,15,70
50900,R&D,region_22,Bachelor's,m,other,2,29,,1,60
11824,R&D,region_2,Master's & above,f,sourcing,2,59,1,15,76
51740,R&D,region_12,Bachelor's,f,sourcing,1,29,3,1,48
51364,R&D,region_22,Bachelor's,f,other,1,29,5,3,57
64265,R&D,region_13,Bachelor's,f,sourcing,3,31,1,5,51
46233,R&D,region_28,Bachelor's,m,sourcing,1,31,5,7,51
41215,R&D,region_25,Bachelor's,f,sourcing,1,31,4,3,50
47172,R&D,region_26,Bachelor's,m,other,1,32,3,4,47
53542,R&D,region_26,Bachelor's,f,other,1,49,4,8,68
2121,R&D,region_2,Master's & above,m,other,1,42,5,11,59
77677,R&D,region_11,Bachelor's,m,other,1,32,5,7,49
38018,R&D,region_11,Bachelor's,m,other,1,30,3,4,80
29799,R&D,region_4,Bachelor's,m,other,1,32,5,8,86
565,R&D,region_1,Bachelor's,f,sourcing,2,29,1,2,74
33473,R&D,region_2,Bachelor's,m,sourcing,2,31,1,6,50
14628,R&D,region_20,Bachelor's,m,other,2,27,,1,48
46339,R&D,region_34,Bachelor's,m,other,1,30,3,2,58
6352,R&D,region_2,Bachelor's,f,sourcing,1,48,4,8,60
63568,R&D,region_2,Bachelor's,m,sourcing,1,39,5,12,50
15317,R&D,region_23,Master's & above,m,sourcing,1,35,2,7,87
63035,R&D,region_2,Bachelor's,f,other,1,47,4,7,78
22942,R&D,region_31,Master's & above,m,other,1,46,5,3,51
62212,R&D,region_31,Master's & above,f,other,1,37,3,2,97
49252,R&D,region_19,Bachelor's,m,other,1,26,5,6,60
38520,R&D,region_6,Bachelor's,f,sourcing,1,31,5,4,87
65459,R&D,region_27,,m,other,1,26,,1,56
69109,R&D,region_20,Bachelor's,f,other,1,28,2,4,69
67985,R&D,region_4,Master's & above,f,sourcing,2,36,1,6,65
74040,R&D,region_24,Master's & above,f,other,1,35,1,7,80
31049,R&D,region_13,Bachelor's,m,sourcing,1,34,4,9,84
55523,R&D,region_2,Master's & above,m,sourcing,2,58,5,6,81
40579,R&D,region_22,Master's & above,m,sourcing,1,29,2,5,50
40211,R&D,region_13,Bachelor's,m,other,1,36,2,9,59
41982,R&D,region_2,Bachelor's,m,sourcing,1,30,1,4,84
24286,R&D,region_2,Master's & above,f,other,1,40,3,10,49
53696,R&D,region_15,Bachelor's,m,other,1,38,3,4,71
47130,R&D,region_11,Bachelor's,m,other,1,36,2,5,52
25340,R&D,region_2,Bachelor's,m,other,1,41,4,9,49
16794,R&D,region_22,Master's & above,m,other,1,33,5,5,66
10399,R&D,region_31,Bachelor's,m,sourcing,1,29,1,4,79
9095,R&D,region_22,Master's & above,f,other,1,33,4,8,81
60624,R&D,region_7,Master's & above,f,other,1,41,1,2,47
30188,R&D,region_2,Master's & above,m,other,2,41,3,10,67
19292,R&D,region_13,Master's & above,m,other,1,41,3,4,60
58780,R&D,region_7,Bachelor's,f,other,1,28,4,5,76
33674,R&D,region_7,Master's & above,f,sourcing,1,32,5,7,53
17128,R&D,region_8,Bachelor's,m,other,1,25,3,3,77
28127,R&D,region_13,Below Secondary,f,sourcing,1,24,2,2,85
42650,R&D,region_7,Bachelor's,m,other,1,53,4,10,45
58393,Sales & Marketing,region_25,Master's & above,m,sourcing,1,38,5,12,49
72037,Legal,region_22,Bachelor's,m,sourcing,1,31,3,3,62
33736,Sales & Marketing,region_2,Bachelor's,f,other,2,51,3,17,52
51260,Operations,region_14,Master's & above,m,sourcing,1,42,3,4,59
21326,Operations,region_2,Master's & above,m,other,1,56,5,16,59
7784,Sales & Marketing,region_4,Bachelor's,m,other,1,48,4,9,46
33540,Procurement,region_2,Master's & above,m,sourcing,1,56,3,2,65
14669,Technology,region_26,Bachelor's,m,referred,1,27,,1,79
53267,R&D,region_26,Bachelor's,m,other,1,31,4,6,84
51294,Procurement,region_22,Master's & above,m,sourcing,2,33,3,3,72
4208,Technology,region_7,Master's & above,m,referred,1,36,4,4,80
64266,Procurement,region_11,Master's & above,f,other,1,38,5,4,70
57995,Procurement,region_5,Bachelor's,m,other,1,36,2,4,64
76317,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,50,4,21,49
32169,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,40,1,3,47
22403,Finance,region_28,Below Secondary,f,other,1,26,1,2,54
18775,Operations,region_20,Bachelor's,m,sourcing,1,27,3,3,58
7007,Sales & Marketing,region_27,Master's & above,m,other,1,54,5,21,53
58836,Finance,region_26,Bachelor's,f,other,1,29,4,7,67
67403,Procurement,region_2,Bachelor's,m,sourcing,3,31,4,4,67
34371,Technology,region_2,Master's & above,m,other,2,45,5,15,75
17603,Analytics,region_26,Bachelor's,m,sourcing,1,29,,1,84
72636,Procurement,region_22,Master's & above,m,other,1,39,3,5,70
44193,Sales & Marketing,region_22,Bachelor's,m,other,1,20,,1,49
41162,Sales & Marketing,region_22,Bachelor's,m,other,1,28,5,2,51
42939,Sales & Marketing,region_30,Bachelor's,m,other,1,42,3,4,51
37227,Operations,region_7,Bachelor's,m,other,1,33,4,3,58
34986,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,33,3,4,52
10473,Finance,region_2,Bachelor's,m,sourcing,1,25,5,2,57
42833,Operations,region_31,Bachelor's,m,other,1,29,3,2,57
39224,Technology,region_27,Bachelor's,m,other,1,28,5,2,95
34148,Procurement,region_13,Master's & above,m,other,1,33,4,3,70
65558,HR,region_15,Bachelor's,m,sourcing,1,32,3,6,52
63986,Operations,region_20,Master's & above,f,other,1,32,3,5,57
31641,Analytics,region_2,Bachelor's,m,other,1,37,3,4,81
45087,Sales & Marketing,region_31,Bachelor's,m,other,1,35,5,8,50
63354,Technology,region_2,,f,other,1,56,3,12,79
41610,Procurement,region_1,Bachelor's,m,other,3,28,3,2,70
10376,Analytics,region_31,Bachelor's,m,other,1,39,3,10,86
11414,Operations,region_27,Master's & above,m,other,1,40,4,11,59
32884,Sales & Marketing,region_2,Master's & above,m,other,2,36,4,9,47
71007,Technology,region_26,Bachelor's,m,other,1,36,3,11,82
43891,Analytics,region_26,Bachelor's,m,other,1,30,2,5,88
26769,Legal,region_13,Bachelor's,m,sourcing,1,43,3,9,59
23022,Operations,region_4,Bachelor's,f,sourcing,1,39,2,11,70
56684,Operations,region_7,Master's & above,f,other,3,32,4,6,62
24951,Operations,region_15,Bachelor's,m,other,1,43,4,11,58
8810,Operations,region_2,Bachelor's,f,sourcing,1,34,4,6,60
77266,Analytics,region_15,Bachelor's,m,sourcing,1,29,,1,89
33334,Sales & Marketing,region_22,Bachelor's,m,other,1,47,4,9,52
29911,Analytics,region_4,Master's & above,m,other,1,38,1,9,85
42142,Operations,region_30,Bachelor's,f,sourcing,1,30,3,6,58
29467,Sales & Marketing,region_27,Bachelor's,f,other,1,29,3,3,47
11784,Procurement,region_16,Bachelor's,m,other,1,36,3,9,66
29776,Operations,region_22,Master's & above,m,other,1,40,5,7,56
10563,Legal,region_11,Bachelor's,m,sourcing,1,33,4,3,60
6736,Operations,region_22,Bachelor's,f,sourcing,1,35,2,5,54
441,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,23,5,2,54
14980,Finance,region_22,Bachelor's,m,other,3,26,5,2,60
13549,Sales & Marketing,region_24,Bachelor's,m,sourcing,1,38,3,8,48
1348,Analytics,region_22,Master's & above,m,sourcing,1,38,3,10,90
14948,Technology,region_15,Bachelor's,m,sourcing,1,29,1,6,82
12723,Sales & Marketing,region_27,,m,sourcing,1,23,,1,50
22827,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,41,3,4,51
30527,Procurement,region_24,Bachelor's,m,other,1,29,1,1,72
38928,Sales & Marketing,region_5,Bachelor's,m,sourcing,2,29,1,2,50
17420,Sales & Marketing,region_9,Master's & above,m,other,1,31,3,9,51
72878,Procurement,region_17,Master's & above,f,other,1,56,3,4,70
43657,Sales & Marketing,region_26,,m,other,1,24,4,3,50
38588,Procurement,region_22,Master's & above,m,other,1,50,3,15,67
55236,Legal,region_2,Master's & above,m,sourcing,1,36,5,4,57
339,Sales & Marketing,region_13,Bachelor's,m,other,1,36,5,10,46
30270,Operations,region_2,Bachelor's,f,sourcing,1,42,5,14,64
52076,Sales & Marketing,region_15,,m,sourcing,1,45,1,14,55
36458,Sales & Marketing,region_4,Bachelor's,m,other,1,30,3,2,46
27999,Analytics,region_6,Bachelor's,m,sourcing,1,28,5,2,86
57114,Operations,region_22,Master's & above,f,sourcing,1,46,3,16,62
25603,Technology,region_16,Master's & above,f,other,1,55,4,14,75
71930,HR,region_28,Master's & above,m,sourcing,1,35,5,10,50
23945,Sales & Marketing,region_2,Bachelor's,f,other,1,58,3,2,48
22469,Analytics,region_28,Master's & above,m,sourcing,1,35,5,7,85
34891,Operations,region_29,Bachelor's,m,other,1,30,1,7,58
17506,Technology,region_7,Bachelor's,m,sourcing,2,27,5,4,82
32124,Analytics,region_32,Bachelor's,f,sourcing,1,29,1,4,87
48160,Analytics,region_31,Bachelor's,m,other,1,34,1,3,87
30792,Sales & Marketing,region_4,Master's & above,m,other,1,40,3,2,49
76840,Sales & Marketing,region_26,Master's & above,m,sourcing,1,33,5,4,47
27844,Finance,region_2,Master's & above,f,other,3,40,3,4,56
32595,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1,6,49
68808,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,25,,1,47
66391,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,28,4,6,47
18212,Sales & Marketing,region_33,Bachelor's,m,sourcing,4,29,3,8,51
51051,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,41,4,4,60
60375,Finance,region_2,Master's & above,m,sourcing,1,43,5,15,74
